0,1,2,3,4,5,6,7,8,9,10,sub,ses,hemi,A,B
15308,6352,21301,359,14949,5993,97.6548,94.3482,0.3511,1.5006,0.68,43TPEF5216,01,R,RAF_fs_LOTS_clean_fa_bin.nii.gz,RAF_fs_mOTS_clean_fa_bin.nii.gz
5102,128,5102,128,4974,0,97.4912,0.0,0.0636,0.0999,0.0414,43TPEF5216,01,R,rh.LOTS_dil-1.nii.gz,rh.mOTS_dil-1.nii.gz
8133,5076,9556,3653,4480,1423,55.0842,28.0339,0.5992,1.1002,0.9527,22TPEF7067,01,L,LAF_fs_LOTS_clean_fa_bin.nii.gz,LAF_fs_mOTS_clean_fa_bin.nii.gz
2970,126,2970,126,2844,0,95.7576,0.0,0.0822,0.3096,0.0352,22TPEF7067,01,L,lh.LOTS_dil-1.nii.gz,lh.mOTS_dil-1.nii.gz
11312,5873,11898,5287,6025,586,53.262,9.9779,0.7133,0.8507,0.5789,22TPEF7067,01,R,RAF_fs_LOTS_clean_fa_bin.nii.gz,RAF_fs_mOTS_clean_fa_bin.nii.gz
5258,128,5258,128,5130,0,97.5656,0.0,0.0796,0.1722,0.0636,22TPEF7067,01,R,rh.LOTS_dil-1.nii.gz,rh.mOTS_dil-1.nii.gz
9300,3449,9734,3015,6285,434,67.5806,12.5834,0.9171,0.9987,1.272,TOT8222M,01,L,LAF_fs_LOTS_clean_fa_bin.nii.gz,LAF_fs_mOTS_clean_fa_bin.nii.gz
3856,154,3856,154,3702,0,96.0062,0.0,0.1743,0.0692,0.0441,TOT8222M,01,L,lh.LOTS_dil-1.nii.gz,lh.mOTS_dil-1.nii.gz
11824,2158,13911,71,11753,2087,99.3995,96.7099,0.4825,0.9003,0.4766,TOT8222M,01,R,RAF_fs_LOTS_clean_fa_bin.nii.gz,RAF_fs_mOTS_clean_fa_bin.nii.gz
6933,158,6933,158,6775,0,97.721,0.0,0.1139,0.1383,0.0293,TOT8222M,01,R,rh.LOTS_dil-1.nii.gz,rh.mOTS_dil-1.nii.gz
12420,6267,18544,143,12277,6124,98.8486,97.7182,0.8349,1.0181,1.026,TOT7800M,01,L,LAF_fs_LOTS_clean_fa_bin.nii.gz,LAF_fs_mOTS_clean_fa_bin.nii.gz
4165,152,4165,152,4013,0,96.3505,0.0,0.4841,0.0875,0.0218,TOT7800M,01,L,lh.LOTS_dil-1.nii.gz,lh.mOTS_dil-1.nii.gz
12484,4765,13160,4089,8395,676,67.2461,14.1868,0.7624,0.9533,1.1909,TOT7800M,01,R,RAF_fs_LOTS_clean_fa_bin.nii.gz,RAF_fs_mOTS_clean_fa_bin.nii.gz
5411,138,5411,138,5273,0,97.4496,0.0,0.0253,0.2842,0.0212,TOT7800M,01,R,rh.LOTS_dil-1.nii.gz,rh.mOTS_dil-1.nii.gz
12711,10987,15781,7917,4794,3070,37.7154,27.9421,0.9185,1.0674,1.0235,47TPEF3729,01,L,LAF_fs_LOTS_clean_fa_bin.nii.gz,LAF_fs_mOTS_clean_fa_bin.nii.gz
