roi1,extroi1,roi2,extroi2,roi3,extroi3,roi4,extroi4,roi5,extroi5,roi6,extroi6,dilroi1,dilroi2,dilroi3,dilroi4,dilroi5,dilroi6,bidir,label,fgnum,hemi,slabel,shemi,nhlabel,wbt,usecortex,tckmaxlen,tckminlen,tckangle,algorithm,select,cutoff,maxDist,maxLen,numNodes,meanmed,maxIter
Left-VPL,.nii.gz,L_S1,.nii.gz,NO,.nii.gz,NO,.nii.gz,NO,.nii.gz,NO,.nii.gz,1,1,0,0,0,0,0,KN73,73,L,LKN73,L,KN,0,0,200,20,45,iFoD2,5000,0.05,4,4,100,median,3
Right-VPL,.nii.gz,R_S1,.nii.gz,NO,.nii.gz,NO,.nii.gz,NO,.nii.gz,NO,.nii.gz,1,1,0,0,0,0,0,KN74,74,L,LKN74,L,KN,0,0,200,20,45,iFoD2,5000,0.05,4,4,100,median,3
